id,name,collection,country,prefecture,priority,score,unknown_dimensions,reasons,recommended_action,current_facets
jp-081,小田原タンタン麺,japan_local_ramen,日本,神奈川県,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup|spicy
jp-082,神奈川淡麗系,japan_local_ramen,日本,神奈川県,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,light|soup
jp-083,アホーメン,japan_local_ramen,日本,神奈川県,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,garlic|soup
jp-093,冷丼,japan_local_ramen,日本,新潟県,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,cold|light
jp-095,麻婆ラーメン,japan_local_ramen,日本,新潟県,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup|spicy
jp-098,入善ブラウンラーメン,japan_local_ramen,日本,富山県,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-099,高岡グリーンラーメン,japan_local_ramen,日本,富山県,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-104,たけふ駅前中華そば,japan_local_ramen,日本,福井県,high,6,noodle|ingredients,noodle_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,soup|soy_sauce
jp-107,やまなし源水ラーメン,japan_local_ramen,日本,山梨県,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,light|soup
jp-109,王様中華そば,japan_local_ramen,日本,長野県,high,6,noodle|ingredients,noodle_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,soup|soy_sauce
jp-121,ベトコンラーメン,japan_local_ramen,日本,愛知県,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,garlic|soup|spicy
